movieId,title,genres,genres_clean,tags_clean,title_tokens,year_token,soup
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,adventure animation children comedy fantasy,fun pixar,toy story,yr1995,adventure animation children comedy fantasy adventure animation children comedy fantasy adventure animation children comedy fantasy toy story yr1995 fun pixar
2,Jumanji (1995),Adventure|Children|Fantasy,adventure children fantasy,fantasy game magic board game robin williams,jumanji,yr1995,adventure children fantasy adventure children fantasy adventure children fantasy jumanji yr1995 fantasy game magic board game robin williams
3,Grumpier Old Men (1995),Comedy|Romance,comedy romance,moldy old,grumpier old men,yr1995,comedy romance comedy romance comedy romance grumpier old men yr1995 moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,comedy drama romance,,waiting exhale,yr1995,comedy drama romance comedy drama romance comedy drama romance waiting exhale yr1995
5,Father of the Bride Part II (1995),Comedy,comedy,pregnancy remake,father bride,yr1995,comedy comedy comedy father bride yr1995 pregnancy remake
6,Heat (1995),Action|Crime|Thriller,action crime thriller,,heat,yr1995,action crime thriller action crime thriller action crime thriller heat yr1995
7,Sabrina (1995),Comedy|Romance,comedy romance,remake,sabrina,yr1995,comedy romance comedy romance comedy romance sabrina yr1995 remake
8,Tom and Huck (1995),Adventure|Children,adventure children,,tom huck,yr1995,adventure children adventure children adventure children tom huck yr1995
9,Sudden Death (1995),Action,action,,sudden death,yr1995,action action action sudden death yr1995
10,GoldenEye (1995),Action|Adventure|Thriller,action adventure thriller,,goldeneye,yr1995,action adventure thriller action adventure thriller action adventure thriller goldeneye yr1995
11,"American President, The (1995)",Comedy|Drama|Romance,comedy drama romance,politics president,american president,yr1995,comedy drama romance comedy drama romance comedy drama romance american president yr1995 politics president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,comedy horror,,dracula dead loving,yr1995,comedy horror comedy horror comedy horror dracula dead loving yr1995
13,Balto (1995),Adventure|Animation|Children,adventure animation children,,balto,yr1995,adventure animation children adventure animation children adventure animation children balto yr1995
14,Nixon (1995),Drama,drama,politics president,nixon,yr1995,drama drama drama nixon yr1995 politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,action adventure romance,,cutthroat island,yr1995,action adventure romance action adventure romance action adventure romance cutthroat island yr1995
16,Casino (1995),Crime|Drama,crime drama,mafia,casino,yr1995,crime drama crime drama crime drama casino yr1995 mafia
17,Sense and Sensibility (1995),Drama|Romance,drama romance,jane austen,sense sensibility,yr1995,drama romance drama romance drama romance sense sensibility yr1995 jane austen
18,Four Rooms (1995),Comedy,comedy,,rooms,yr1995,comedy comedy comedy rooms yr1995
19,Ace Ventura: When Nature Calls (1995),Comedy,comedy,,ace ventura when nature calls,yr1995,comedy comedy comedy ace ventura when nature calls yr1995
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,action comedy crime drama thriller,,money train,yr1995,action comedy crime drama thriller action comedy crime drama thriller action comedy crime drama thriller money train yr1995
21,Get Shorty (1995),Comedy|Crime|Thriller,comedy crime thriller,hollywood,get shorty,yr1995,comedy crime thriller comedy crime thriller comedy crime thriller get shorty yr1995 hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,crime drama horror mystery thriller,serial killer,copycat,yr1995,crime drama horror mystery thriller crime drama horror mystery thriller crime drama horror mystery thriller copycat yr1995 serial killer
23,Assassins (1995),Action|Crime|Thriller,action crime thriller,,assassins,yr1995,action crime thriller action crime thriller action crime thriller assassins yr1995
24,Powder (1995),Drama|Sci-Fi,drama scifi,,powder,yr1995,drama scifi drama scifi drama scifi powder yr1995
25,Leaving Las Vegas (1995),Drama|Romance,drama romance,alcoholism,leaving las vegas,yr1995,drama romance drama romance drama romance leaving las vegas yr1995 alcoholism
26,Othello (1995),Drama,drama,shakespeare,othello,yr1995,drama drama drama othello yr1995 shakespeare
27,Now and Then (1995),Children|Drama,children drama,,now then,yr1995,children drama children drama children drama now then yr1995
28,Persuasion (1995),Drama|Romance,drama romance,jane austen,persuasion,yr1995,drama romance drama romance drama romance persuasion yr1995 jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,adventure drama fantasy mystery scifi,kidnapping,city lost children cit des enfants perdus la,yr1995,adventure drama fantasy mystery scifi adventure drama fantasy mystery scifi adventure drama fantasy mystery scifi city lost children cit des enfants perdus la yr1995 kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,crime drama,,shanghai triad yao yao yao dao waipo qiao,yr1995,crime drama crime drama crime drama shanghai triad yao yao yao dao waipo qiao yr1995
31,Dangerous Minds (1995),Drama,drama,high school teacher,dangerous minds,yr1995,drama drama drama dangerous minds yr1995 high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,mystery scifi thriller,brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,twelve monkeys k monkeys,yr1995,mystery scifi thriller mystery scifi thriller mystery scifi thriller twelve monkeys k monkeys yr1995 brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending
34,Babe (1995),Children|Drama,children drama,animal movie pigs villain nonexistent or not needed for good story,babe,yr1995,children drama children drama children drama babe yr1995 animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,crime drama,death penalty nun,dead man walking,yr1995,crime drama crime drama crime drama dead man walking yr1995 death penalty nun
38,It Takes Two (1995),Children|Comedy,children comedy,twins,takes,yr1995,children comedy children comedy children comedy takes yr1995 twins
39,Clueless (1995),Comedy|Romance,comedy romance,chick flick emma funny jane austen paul rudd quotable seen more than once,clueless,yr1995,comedy romance comedy romance comedy romance clueless yr1995 chick flick emma funny jane austen paul rudd quotable seen more than once
40,"Cry, the Beloved Country (1995)",Drama,drama,south africa,cry beloved country,yr1995,drama drama drama cry beloved country yr1995 south africa
41,Richard III (1995),Drama|War,drama war,shakespeare,richard,yr1995,drama war drama war drama war richard yr1995 shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,action crime drama,,dead presidents,yr1995,action crime drama action crime drama action crime drama dead presidents yr1995
43,Restoration (1995),Drama,drama,england,restoration,yr1995,drama drama drama restoration yr1995 england
44,Mortal Kombat (1995),Action|Adventure|Fantasy,action adventure fantasy,,mortal kombat,yr1995,action adventure fantasy action adventure fantasy action adventure fantasy mortal kombat yr1995
45,To Die For (1995),Comedy|Drama|Thriller,comedy drama thriller,journalism,die,yr1995,comedy drama thriller comedy drama thriller comedy drama thriller die yr1995 journalism
46,How to Make an American Quilt (1995),Drama|Romance,drama romance,wedding,how make american quilt,yr1995,drama romance drama romance drama romance how make american quilt yr1995 wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery thriller,mystery serial killer twist ending,seven k se en,yr1995,mystery thriller mystery thriller mystery thriller seven k se en yr1995 mystery serial killer twist ending
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,animation children drama musical romance,,pocahontas,yr1995,animation children drama musical romance animation children drama musical romance animation children drama musical romance pocahontas yr1995
49,When Night Is Falling (1995),Drama|Romance,drama romance,,when night falling,yr1995,drama romance drama romance drama romance when night falling yr1995
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,crime mystery thriller,heist mindfuck suspense thriller tricky twist ending,usual suspects,yr1995,crime mystery thriller crime mystery thriller crime mystery thriller usual suspects yr1995 heist mindfuck suspense thriller tricky twist ending
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,comedy drama romance,adoption prostitution,mighty aphrodite,yr1995,comedy drama romance comedy drama romance comedy drama romance mighty aphrodite yr1995 adoption prostitution
53,Lamerica (1994),Adventure|Drama,adventure drama,,lamerica,yr1994,adventure drama adventure drama adventure drama lamerica yr1994
54,"Big Green, The (1995)",Children|Comedy,children comedy,,big green,yr1995,children comedy children comedy children comedy big green yr1995
55,Georgia (1995),Drama,drama,,georgia,yr1995,drama drama drama georgia yr1995
57,Home for the Holidays (1995),Drama,drama,,home holidays,yr1995,drama drama drama home holidays yr1995
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,comedy drama romance,writing,postman postino il,yr1994,comedy drama romance comedy drama romance comedy drama romance postman postino il yr1994 writing
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,adventure children fantasy,,indian cupboard,yr1995,adventure children fantasy adventure children fantasy adventure children fantasy indian cupboard yr1995
61,Eye for an Eye (1996),Drama|Thriller,drama thriller,,eye eye,yr1996,drama thriller drama thriller drama thriller eye eye yr1996
62,Mr. Holland's Opus (1995),Drama,drama,music,mr holland s opus,yr1995,drama drama drama mr holland s opus yr1995 music
